,Department,Job,Employee Identifier,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation,Year
79544,Department of Technology,Chief Fire Alarm Dispatcher,37481567,106860.07,19999.5,14487.08,8756.93,43243.51,150103.58,2018
79545,Department of Technology,IS Business Analyst,37484170,106686.65,20466.83,14433.94,8581.27,43482.04,150168.69,2018
83294,Department of Technology,Chief Fire Alarm Dispatcher,41846136,114484.08,21361.48,15002.27,9326.71,45690.46,160174.54,2019
83296,Department of Technology,Senior Account Clerk,41466116,55356.77,10866.76,10839.79,4082.46,25789.01,81145.78,2019
83300,Department of Technology,Engineering Associate 1,41166425,76967.43,15384.08,14885.61,6228.16,36497.85,113465.28,2019
84298,Department of Technology,IS Engineer-Senior,42444665,163650.2,31517.98,15088.45,11609.43,58215.86,221866.06,2020
84299,Department of Technology,IS Engineer-Senior,43926529,130107.99,26249.99,15088.45,10073.7,51412.14,181520.13,2020
84308,Department of Technology,Media Programming Spec,42442591,3603.6,0.0,0.0,279.69,279.69,3883.29,2020
84311,Department of Technology,IS Engineer-Principal,42430634,178867.16,33906.91,15088.45,11936.1,60931.46,239798.62,2020
84325,Department of Technology,Cable Splicer,42438338,136413.19,25398.51,18007.33,10263.71,53669.55,190082.74,2020
84328,Department of Technology,Fire Alarm Dispatcher,41226532,5723.0,0.0,0.0,444.2,444.2,6167.2,2020
84347,Department of Technology,IT Operations Support Admin V,43956183,135880.01,27694.99,15088.45,10673.82,53457.26,189337.27,2020
84348,Department of Technology,IS Engineer-Senior,42416148,163718.75,31517.98,15088.45,11726.12,58332.55,222051.3,2020
84351,Department of Technology,IT Operations Support Admn III,42420315,103870.0,21669.66,15088.45,8406.77,45164.88,149034.88,2020
86723,Department of Technology,Dept Head IV,36670313,229369.92,43052.64,15662.63,18401.39,77116.66,306486.58,2018
86801,Department of Technology,IS Engineer-Principal,36880339,168109.05,31489.91,14239.35,11600.67,57329.93,225438.98,2018
86814,Department of Technology,IT Operations Support Admn III,36843432,84784.95,16288.87,13894.45,6868.13,37051.45,121836.4,2018
86848,Department of Technology,Media Production Tech,36741627,5341.28,996.28,1157.73,425.67,2579.68,7920.96,2018
86849,Department of Technology,Manager IV,37233698,910.2,165.02,0.0,70.64,235.66,1145.86,2018
86850,Department of Technology,Cable Splicer,36663172,147737.68,22114.33,16971.75,11223.18,50309.26,198046.94,2018
86851,Department of Technology,Project Manager 2,36886485,170369.0,31913.25,14239.35,11345.11,57497.71,227866.71,2018
86860,Department of Technology,IS Engineer-Principal,37163086,133746.2,25054.45,1347.21,10741.04,37142.7,170888.9,2018
86861,Department of Technology,Manager IV,37012368,186600.48,34956.15,17294.69,11392.16,63643.0,250243.48,2018
86875,Department of Technology,IT Operations Support Admn III,36676172,81994.43,15753.24,14232.51,6604.59,36590.34,118584.77,2018
86883,Department of Technology,Media Production Tech,36865268,46751.85,4365.19,10901.25,3676.34,18942.78,65694.63,2018
87447,Department of Technology,Project Manager 2,39596283,48262.5,8986.5,4219.77,3796.48,17002.75,65265.25,2019
87459,Department of Technology,"StdntDsgnTrain1, Arch/Eng/Plng",40356269,2269.0,0.0,0.0,176.1,176.1,2445.1,2019
87460,Department of Technology,"StdntDsgnTrain1, Arch/Eng/Plng",40356226,2042.1,0.0,0.0,158.5,158.5,2200.6,2019
87474,Department of Technology,IS Manager,39556249,191094.0,35592.43,17788.88,11592.99,64974.3,256068.3,2019
87507,Department of Technology,Cable Splicer,37488931,117195.0,22402.06,16750.24,9512.14,48664.44,165859.44,2019
87520,Department of Technology,Manager VII,37492983,204728.06,38131.77,17788.88,11768.66,67689.31,272417.37,2019
87529,Department of Technology,Communications Systems Tech,37460262,127668.98,23678.39,14733.76,10154.51,48566.66,176235.64,2019
88098,Department of Technology,Media Production Tech,37477003,17613.26,0.0,0.0,1569.59,1569.59,19182.85,2018
88099,Department of Technology,Media Production Tech,38535919,64082.28,12270.28,14614.44,5734.73,32619.45,96701.73,2018
88101,Department of Technology,IS Engineer-Journey,37596356,115890.28,20949.93,14433.94,9270.63,44654.5,160544.78,2018
88103,Department of Technology,Senior Administrative Analyst,38526059,74156.72,14214.21,11491.64,5827.72,31533.57,105690.29,2018
88111,Department of Technology,Pr Administrative Analyst,37685781,80556.69,13856.35,8549.34,6409.56,28815.25,109371.94,2018
88257,Department of Technology,Electrical Line Helper,42450283,93616.0,20295.14,18511.56,7069.13,45875.83,139491.83,2020
88321,Department of Technology,IS Engineer-Principal,42726106,208693.22,38215.05,15297.0,12363.13,65875.18,274568.4,2020
88331,Department of Technology,Pr Administrative Analyst,42746114,129527.0,27808.06,15297.0,10019.65,53124.71,182651.71,2020
88332,Department of Technology,IS Engineer-Assistant,45296275,106387.2,23077.55,0.0,8525.85,31603.4,137990.6,2020
88333,Department of Technology,Media Production Tech,45436092,39026.76,427.51,0.0,3031.73,3459.24,42486.0,2020
88365,Department of Technology,Media Production Supv,43746116,91882.0,14487.43,14657.4,7090.89,36235.72,128117.72,2020
88366,Department of Technology,Public Information Officer,43376211,52668.01,11623.45,9884.21,4245.63,25753.29,78421.3,2020
88407,Department of Technology,IS Business Analyst,45086142,113265.05,24554.92,15297.0,9987.83,49839.75,163104.8,2020
89409,Department of Technology,Communications Line Wrk Sprv 2,47256864,164096.43,28826.85,17633.11,10875.74,57335.7,221432.13,2021
89410,Department of Technology,Media Programming Spec,46386693,4771.5,0.0,1234.55,501.83,1736.38,6507.88,2021
89411,Department of Technology,IS Business Analyst-Principal,46576570,152533.4,33629.9,15603.29,11830.75,61063.94,213597.34,2021
89422,Department of Technology,Senior Comm Systems Technican,45707412,165296.65,35892.64,15959.1,11537.98,63389.72,228686.37,2021
89441,Department of Technology,Chief Fire Alarm Dispatcher,44286146,33667.92,3170.2,2086.96,2652.74,7909.9,41577.82,2021
89442,Department of Technology,Cable Splicer,44276211,18601.03,3631.38,2553.87,1491.65,7676.9,26277.93,2021
89443,Department of Technology,Fire Alarm Dispatcher,46946475,101444.52,21660.7,15583.51,7945.5,45189.71,146634.23,2021
89444,Department of Technology,Cable Splicer,46576751,124059.85,21338.13,18040.64,8650.69,48029.46,172089.31,2021
91604,Department of Technology,IT Operations Support Admin IV,47357046,137982.31,28215.38,15979.29,11005.2,55199.87,193182.18,2021
91605,Department of Technology,Pr Administrative Analyst,48326688,72754.46,15442.37,8457.73,5709.22,29609.32,102363.78,2021
91606,Department of Technology,Communications Systems Tech,47369901,150429.72,29081.4,16398.07,11322.19,56801.66,207231.38,2021
91618,Department of Technology,Cable Splicer,47375840,121999.11,24853.32,17645.41,9429.65,51928.38,173927.49,2021
91629,Department of Technology,IT Operations Support Admin II,48186487,94405.59,18854.01,14627.2,7161.43,40642.64,135048.23,2021
91666,Department of Technology,IS Engineer-Journey,48466493,143791.57,28808.51,1201.45,11501.86,41511.82,185303.39,2021
91667,Department of Technology,Manager V,48286564,164035.11,33809.36,16859.46,11904.45,62573.27,226608.38,2021
91668,Department of Technology,Cable Splicer,48646551,126394.25,26382.36,18664.1,10750.01,55796.47,182190.72,2021
91669,Department of Technology,Communications Systems Tech,49006483,122254.11,26250.84,16382.31,9779.99,52413.14,174667.25,2021
91670,Department of Technology,Public Information Officer,49006478,89120.2,19137.78,15917.83,6744.18,41799.79,130919.99,2021
91681,Department of Technology,Media Programming Spec,47346540,35034.31,0.0,6951.87,2780.02,9731.89,44766.2,2021
91705,Department of Technology,Senior Comm Systems Technican,47346523,122649.74,20083.71,9018.94,9727.96,38830.61,161480.35,2021
91706,Department of Technology,Storekeeper,48646714,76433.7,16418.68,16398.07,6092.53,38909.28,115342.98,2021
91724,Department of Technology,Electrical Line Worker,48646705,133294.84,23681.08,17745.46,10212.02,51638.56,184933.4,2021
92753,Department of Technology,Media Programming Spec,49996610,27958.14,0.0,0.0,2134.77,2134.77,30092.91,2022
92757,Department of Technology,IS Engineer-Principal,49294193,65582.1,0.0,0.0,5010.88,5010.88,70592.98,2022
92758,Department of Technology,IT Operations Support Admin II,49278895,96691.25,18620.24,0.0,7624.78,26245.02,122936.27,2022
92759,Department of Technology,Communications Systems Tech,49276545,46457.59,0.0,0.0,821.41,821.41,47279.0,2022
92766,Department of Technology,Manager VI,49336751,219556.31,43477.68,19618.26,13512.7,76608.64,296164.95,2022
92781,Department of Technology,IS Business Analyst-Principal,49996500,161994.7,32085.27,0.0,11809.03,43894.3,205889.0,2022
92794,Department of Technology,Media Programming Spec,49279075,78988.76,16029.74,0.0,6236.27,22266.01,101254.77,2022
92804,Department of Technology,Communications Systems Tech,50296511,169043.51,29058.87,0.0,12104.27,41163.14,210206.65,2022
92805,Department of Technology,IS Engineer-Journey,50016547,154950.92,29669.62,0.0,11773.18,41442.8,196393.72,2022
92814,Department of Technology,IS Engineer-Principal,50406623,160903.2,31865.72,0.0,12535.91,44401.63,205304.83,2022
93872,Department of Technology,IS Engineer-Senior,50877114,179170.74,32055.02,1015.59,12249.5,45320.11,224490.85,2022
93878,Department of Technology,Electrical Line Helper,52037097,82963.49,11428.1,17425.98,5705.85,34559.93,117523.42,2022
93879,Department of Technology,Asst Electronic Main Tech,51546530,75817.58,14965.96,19817.85,5895.72,40679.53,116497.11,2022
93885,Department of Technology,Cable Splicer,50869072,44111.5,0.0,0.0,3350.26,3350.26,47461.76,2022
93887,Department of Technology,IS Business Analyst-Principal,49616536,42972.54,4917.38,2477.15,3344.38,10738.91,53711.45,2022
93888,Department of Technology,Senior Administrative Analyst,51686541,120761.61,23244.2,16101.45,9307.04,48652.69,169414.3,2022
95385,Department of Technology,IS Project Director,37525949,106493.5,15793.12,7772.12,8544.52,32109.76,138603.26,2018
95386,Department of Technology,IT Operations Support Admin V,37476126,129398.01,24197.04,14433.94,10527.37,49158.35,178556.36,2018
95392,Department of Technology,Senior Comm Systems Technican,37457291,164873.69,28257.75,14543.01,11072.48,53873.24,218746.93,2018
95393,Department of Technology,Communications Systems Tech,37459710,154187.12,24142.04,14543.01,10943.88,49628.93,203816.05,2018
95394,Department of Technology,Communications Systems Tech,37464846,148566.66,24474.34,14207.41,10881.73,49563.48,198130.14,2018
99066,Department of Technology,IS Manager,41166323,193960.0,37779.76,17779.58,11742.69,67302.03,261262.03,2019
99071,Department of Technology,Fire Alarm Dispatcher,41166358,102007.66,17721.94,14681.13,8369.75,40772.82,142780.48,2019
99074,Department of Technology,IS Engineer-Senior,41166364,143615.47,25796.1,14950.3,11054.36,51800.76,195416.23,2019
99075,Department of Technology,IT Operations Support Admin II,41566287,86597.48,15454.9,13915.28,6895.44,36265.62,122863.1,2019
99078,Department of Technology,IT Operations Support Admn III,42046339,84528.01,16881.5,14950.3,6683.42,38515.22,123043.23,2019
99079,Department of Technology,IS Engineer-Senior,40797370,163067.15,29205.22,14950.3,11283.94,55439.46,218506.61,2019
99081,Department of Technology,"StdntDsgnTrain1, Arch/Eng/Plng",41466135,24227.24,0.0,0.0,1908.09,1908.09,26135.33,2019
100058,Department of Technology,IT Operations Support Admin IV,43956189,133108.99,26866.89,15088.45,10481.13,52436.47,185545.46,2020
100061,Department of Technology,IS Business Analyst-Principal,42420538,150912.01,30758.77,15088.45,11496.34,57343.56,208255.57,2020
100062,Department of Technology,IT Operations Support Admin II,42425092,100856.61,19417.5,15088.45,8086.49,42592.44,143449.05,2020
100066,Department of Technology,Communications Systems Tech,43076094,64057.87,3170.7,0.0,2122.45,5293.15,69351.02,2020
100070,Department of Technology,IT Operations Support Admin IV,43926497,118855.38,24092.94,14594.23,9445.92,48133.09,166988.47,2020
100076,Department of Technology,IS Engineer-Principal,43486129,157600.01,32123.87,1231.22,11736.46,45091.55,202691.56,2020
100077,Department of Technology,IT Operations Support Admn III,41476226,14113.88,2203.74,1680.04,1196.21,5079.99,19193.87,2020
100084,Department of Technology,IS Engineer-Assistant,40706097,3456.98,437.14,290.17,298.85,1026.16,4483.14,2020
100088,Department of Technology,Junior Administrative Analyst,42826093,77286.0,16123.71,15275.18,6307.77,37706.66,114992.66,2020
100098,Department of Technology,Senior Comm Systems Technican,42428607,189639.85,33275.87,15216.43,12193.61,60685.91,250325.76,2020
102498,Department of Technology,IT Operations Support Admin II,37106781,11878.96,0.0,2611.69,917.64,3529.33,15408.29,2018
102499,Department of Technology,Electrical Line Worker,36781084,10082.38,0.0,1259.5,810.65,2070.15,12152.53,2018
102527,Department of Technology,IS Business Analyst,36693761,105624.01,20292.4,16121.3,9516.38,45930.08,151554.09,2018
102558,Department of Technology,IS Engineer-Journey,36971489,130937.95,24523.69,14239.35,10147.7,48910.74,179848.69,2018
102568,Department of Technology,IS Engineer-Senior,36972431,70240.89,13115.79,7305.47,5295.86,25717.12,95958.01,2018
102577,Department of Technology,Management Assistant,36863693,85355.6,16397.48,13877.48,6650.43,36925.39,122280.99,2018
102591,Department of Technology,IS Engineer-Principal,36843927,170579.92,28854.0,14239.35,11839.83,54933.18,225513.1,2018
102648,Department of Technology,Fire Alarm Dispatcher,36863035,37650.84,6142.76,0.0,3124.65,9267.41,46918.25,2018
103230,Department of Technology,IS Engineer-Journey,39456225,89979.56,15644.94,9283.5,6953.66,31882.1,121861.66,2019
103231,Department of Technology,IT Operations Support Admin II,40116203,54029.62,5910.67,11683.08,4355.92,21949.67,75979.29,2019
103257,Department of Technology,Senior Administrative Analyst,37459792,114480.02,21883.15,14628.56,9043.34,45555.05,160035.07,2019
103271,Department of Technology,Senior Comm Systems Technican,37463371,152785.16,27272.47,14733.76,11104.4,53110.63,205895.79,2019
103283,Department of Technology,IT Operations Support Admin V,40726204,131309.0,24457.17,14628.56,10663.4,49749.13,181058.13,2019
103297,Department of Technology,Senior Account Clerk,37464171,74579.0,14256.02,14450.41,5625.02,34331.45,108910.45,2019
103298,Department of Technology,Executive Secretary 3,37462293,99391.02,18998.83,14628.56,7804.22,41431.61,140822.63,2019
103320,Department of Technology,IS Business Analyst,37484170,108792.1,20795.9,14628.56,8751.94,44176.4,152968.5,2019
103349,Department of Technology,IS Engineer-Journey,39196210,155811.71,24297.2,14628.56,10872.42,49798.18,205609.89,2019
103849,Department of Technology,"StdntDsgnTrain3, Arch/Eng/Plng",37435730,820.24,0.0,0.0,11.89,11.89,832.13,2018
103854,Department of Technology,IS Engineer-Senior,38846143,24560.45,4573.14,2838.21,1976.6,9387.95,33948.4,2018
103863,Department of Technology,Pr Administrative Analyst,38345936,100111.04,19200.88,14433.94,7850.11,41484.93,141595.97,2018
104043,Department of Technology,Executive Secretary 3,42442556,103467.01,22430.71,15297.0,8158.65,45886.36,149353.37,2020
104053,Department of Technology,Electrical Line Worker,42416540,110894.06,21798.73,18645.76,8594.67,49039.16,159933.22,2020
104054,Department of Technology,IS Engineer-Senior,42424712,175391.01,34632.92,15297.0,11911.72,61841.64,237232.65,2020
104072,Department of Technology,Engineering Associate 1,43356108,87441.17,18811.73,15297.0,7038.45,41147.18,128588.35,2020
104073,Department of Technology,Cable Splicer,42418537,135569.23,26699.3,18511.56,10709.21,55920.07,191489.3,2020
104084,Department of Technology,Cable Splicer,43986117,128152.9,25759.88,18511.56,10147.78,54419.22,182572.12,2020
104085,Department of Technology,Manager II,42996104,32450.68,6114.51,4324.07,2511.01,12949.59,45400.27,2020
104095,Department of Technology,Technology Expert II,44786102,146402.02,31035.95,26377.8,10945.49,68359.24,214761.26,2020
104096,Department of Technology,IT Operations Support Admin II,42417953,85975.05,18638.65,15297.0,6621.53,40557.18,126532.23,2020
104120,Department of Technology,Cable Splicer,42438338,135757.86,26555.03,18511.56,10168.93,55235.52,190993.38,2020
104184,Department of Technology,Cable Splicer,42420988,123139.04,26555.03,18511.56,9856.15,54922.74,178061.78,2020
104191,Department of Technology,Pr Administrative Analyst,42443248,137981.0,29250.78,15297.0,11004.91,55552.69,193533.69,2020
105138,Department of Technology,IS Engineer-Senior,47266581,162499.57,33493.55,15603.29,12066.79,61163.63,223663.2,2021
105159,Department of Technology,IS Engineer-Senior,47026512,139465.02,30719.9,15603.29,11046.08,57369.27,196834.29,2021
105169,Department of Technology,Media/Security Syst Supv,45707398,154059.83,28805.99,16838.46,11571.87,57216.32,211276.15,2021
105179,Department of Technology,Manager V,46556538,193610.0,42642.5,21755.43,12217.37,76615.3,270225.3,2021
105180,Department of Technology,Communications Line Wrk Sprv 2,46576591,177926.55,29278.25,18971.61,12297.35,60547.21,238473.76,2021
105188,Department of Technology,Communication Line Sprv1,46576598,180317.72,28771.57,18971.61,11903.71,59646.89,239964.61,2021
105189,Department of Technology,Accountant II,44038461,11596.56,763.11,600.13,909.73,2272.97,13869.53,2021
105190,Department of Technology,Electrical Line Helper,46576610,97649.52,21367.95,18971.61,7533.25,47872.81,145522.33,2021
105191,Department of Technology,IT Operations Support Admin II,46466477,83334.23,18755.69,15603.29,6625.28,40984.26,124318.49,2021
105192,Department of Technology,Media Production Supv,47326484,112740.17,25370.25,16838.46,8727.69,50936.4,163676.57,2021
105198,Department of Technology,Media Programming Spec,46006352,33004.12,0.0,6071.55,2533.53,8605.08,41609.2,2021
107378,Department of Technology,Project Manager 1,47359701,160216.44,33590.82,15979.29,11863.99,61434.1,221650.54,2021
107379,Department of Technology,Prnpl Admin Analyst II,47370905,165120.75,34654.93,15979.29,11970.43,62604.65,227725.4,2021
107380,Department of Technology,Fire Alarm Dispatcher,48706643,92375.03,14377.91,14772.45,7381.97,36532.33,128907.36,2021
107389,Department of Technology,IS Project Director,48756491,178759.56,34672.13,15979.29,12103.89,62755.31,241514.87,2021
107390,Department of Technology,Media Programming Spec,47395518,92498.81,19873.63,17374.23,7147.02,44394.88,136893.69,2021
107396,Department of Technology,IS Engineer-Senior,47366839,171550.62,33705.02,15979.29,12075.7,61760.01,233310.63,2021
107429,Department of Technology,Management Assistant,48466633,79111.64,16971.29,16398.07,6373.77,39743.13,118854.77,2021
107436,Department of Technology,Senior Comm Systems Technican,48216580,140528.71,27852.9,16398.07,11123.83,55374.8,195903.51,2021
107447,Department of Technology,Manager IV,47416803,177991.88,37348.59,19670.49,12064.15,69083.23,247075.11,2021
107448,Department of Technology,IS Engineer-Senior,47926693,97793.67,15006.9,10906.17,7812.44,33725.51,131519.18,2021
107457,Department of Technology,Electrical Line Helper,48646534,31713.22,0.0,7113.95,2418.99,9532.94,41246.16,2021
107494,Department of Technology,IS Business Analyst-Principal,48386643,173159.3,33324.49,15979.29,12135.55,61439.33,234598.63,2021
107527,Department of Technology,Media Programming Spec,47393457,93301.63,20044.45,17374.23,7530.22,44948.9,138250.53,2021
108578,Department of Technology,Cable Splicer,49290731,131342.68,25969.54,0.0,10322.45,36291.99,167634.67,2022
108579,Department of Technology,Senior Management Assistant,49886569,78922.61,15933.36,0.0,6301.61,22234.97,101157.58,2022
108599,Department of Technology,IS Engineer-Journey,49307874,155552.35,29669.62,0.0,11815.7,41485.32,197037.67,2022
108606,Department of Technology,Media Programming Spec,49306832,94331.29,19150.36,0.0,7211.87,26362.23,120693.52,2022
109633,Department of Technology,IS Engineer-Principal,50876149,199946.52,36930.31,16101.45,12487.46,65519.22,265465.74,2022
109637,Department of Technology,IS Engineer-Principal,50875817,227122.8,37136.12,16101.45,12883.99,66121.56,293244.36,2022
109638,Department of Technology,IT Operations Support Admin IV,52166867,125810.41,24178.73,16101.45,9759.51,50039.69,175850.1,2022
109641,Department of Technology,"StdntDsgnTrain1, Arch/Eng/Plng",50866684,22489.15,0.0,0.0,22.04,22.04,22511.19,2022
109644,Department of Technology,IS Business Analyst-Principal,52286859,198146.16,31276.07,16101.45,12558.16,59935.68,258081.84,2022
109645,Department of Technology,IS Business Analyst-Senior,50846902,91860.27,15213.71,8855.8,7205.08,31274.59,123134.86,2022
109647,Department of Technology,IS Business Analyst-Principal,50850602,144708.48,27416.72,14054.09,10968.01,52438.82,197147.3,2022
109649,Department of Technology,Pr Administrative Analyst,50868971,151300.43,28422.97,16101.45,11842.15,56366.57,207667.0,2022
109650,Department of Technology,IS Business Analyst,50850509,124216.09,23943.63,16101.45,9715.26,49760.34,173976.43,2022
111138,Department of Technology,IS Business Analyst-Senior,37483064,134322.21,23211.16,14433.94,10627.22,48272.32,182594.53,2018
111152,Department of Technology,Cable Splicer,37482470,115932.0,22240.84,16624.39,9442.64,48307.87,164239.87,2018
111154,Department of Technology,Senior Administrative Analyst,37495720,106634.04,19749.49,14433.94,8369.8,42553.23,149187.27,2018
111155,Department of Technology,IS Engineer-Senior,38505953,152183.32,27535.54,14433.94,10964.2,52933.68,205117.0,2018
114857,Department of Technology,Electrical Line Worker,41166234,126309.54,22370.65,17416.29,10225.86,50012.8,176322.34,2019
114858,Department of Technology,IT Operations Support Admin IV,41466350,127327.06,24585.25,14950.3,10100.67,49636.22,176963.28,2019
114860,Department of Technology,Dep Dir IV,41166340,215809.04,42077.77,19062.08,11851.35,72991.2,288800.24,2019
114861,Department of Technology,IS Engineer-Principal,41166161,173985.71,31782.8,14950.3,11592.47,58325.57,232311.28,2019
114865,Department of Technology,Electrical Line Worker,41166291,134679.99,22566.17,17445.73,10770.89,50782.79,185462.78,2019
114869,Department of Technology,Assistant Storekeeper,41866093,46752.0,10944.0,13874.94,3820.06,28639.0,75391.0,2019
114870,Department of Technology,Junior Administrative Analyst,41166167,69768.4,13979.64,13817.13,5682.91,33479.68,103248.08,2019
114872,Department of Technology,IT Operations Support Admin II,41466111,18012.5,0.0,3162.56,1447.74,4610.3,22622.8,2019
115823,Department of Technology,IS Project Director,42416510,174731.0,35613.57,15088.45,11735.9,62437.92,237168.92,2020
115831,Department of Technology,Media Programming Spec,42452084,87001.15,18148.37,16208.51,6795.95,41152.83,128153.98,2020
115839,Department of Technology,Manager VI,43086093,195880.2,39924.62,19524.71,12063.95,71513.28,267393.48,2020
115845,Department of Technology,IT Operations Support Admn III,43576145,96340.4,20099.94,15088.45,7739.42,42927.81,139268.21,2020
115846,Department of Technology,Communications Systems Tech,42424835,142347.57,25925.35,15275.18,11402.69,52603.22,194950.79,2020
115871,Department of Technology,Storekeeper,42431411,72835.0,15195.12,15275.18,5779.91,36250.21,109085.21,2020
118397,Department of Technology,Chief Fire Alarm Dispatcher,36864106,101668.92,18844.95,13612.85,8363.15,40820.95,142489.87,2018
118398,Department of Technology,IT Operations Support Admin II,36843048,102239.03,16279.86,14239.35,8321.96,38841.17,141080.2,2018
118399,Department of Technology,Senior Comm Systems Technican,36863233,142165.02,26630.16,14271.54,10844.45,51746.15,193911.17,2018
118400,Department of Technology,Fire Alarm Dispatcher,36865464,86378.23,16124.98,13677.42,7013.15,36815.55,123193.78,2018
118411,Department of Technology,Electrical Line Worker,37415699,156437.9,21515.06,16373.51,11579.95,49468.52,205906.42,2018
118418,Department of Technology,IS Engineer-Senior,36796292,153172.79,27174.83,14239.35,11118.31,52532.49,205705.28,2018
118419,Department of Technology,Media Programming Spec,36865665,515.5,97.02,6053.32,53.9,6204.24,6719.74,2018
118429,Department of Technology,Accountant III,37045803,106881.67,20534.05,20996.72,8554.52,50085.29,156966.96,2018
118430,Department of Technology,IS Business Analyst,36843431,103322.63,19851.25,14239.35,8311.71,42402.31,145724.94,2018
118431,Department of Technology,Media Production Supv,36865071,90563.79,17399.9,15269.08,7271.07,39940.05,130503.84,2018
118443,Department of Technology,IS Business Analyst-Principal,37319668,138818.72,26004.9,14239.35,11078.1,51322.35,190141.07,2018
118456,Department of Technology,Cable Splicer,36663164,157821.38,22092.49,16373.51,10564.15,49030.15,206851.53,2018
118464,Department of Technology,Media Programming Spec,36865261,34055.38,6546.63,7678.58,2627.99,16853.2,50908.58,2018
118481,Department of Technology,IS Business Analyst-Senior,37163087,112193.17,21564.47,14116.13,8597.85,44278.45,156471.62,2018
118497,Department of Technology,"StdntDsgnTrain1, Arch/Eng/Plng",37105334,6156.5,0.0,0.0,477.84,477.84,6634.34,2018
119021,Department of Technology,IS Engineer-Journey,39576201,30952.5,5915.02,4219.77,2444.01,12578.8,43531.3,2019
119042,Department of Technology,Storekeeper,39906199,68493.41,13092.1,14733.76,5493.83,33319.69,101813.1,2019
119053,Department of Technology,Telecommunications Tech Supv,37483255,234954.87,24394.23,16814.92,13694.6,54903.75,289858.62,2019
119054,Department of Technology,IT Operations Support Admn III,37486693,100285.25,19169.72,14615.19,8154.79,41939.7,142224.95,2019
119055,Department of Technology,IS Project Director,37525949,28363.44,1128.08,562.63,2216.33,3907.04,32270.48,2019
119066,Department of Technology,Electrical Line Worker,37476719,119366.18,22151.43,16814.92,9701.27,48667.62,168033.8,2019
119073,Department of Technology,Electrical Line Worker,37455754,112770.81,19141.93,15146.44,9183.06,43471.43,156242.24,2019
119091,Department of Technology,Media Programming Spec,39536102,3469.36,664.6,784.88,259.05,1708.53,5177.89,2019
119092,Department of Technology,Communications Systems Tech,37487641,22263.3,0.0,0.0,375.27,375.27,22638.57,2019
119093,Department of Technology,Pr Administrative Analyst,37477295,132529.02,24684.37,14628.56,10591.04,49903.97,182432.99,2019
119102,Department of Technology,Media Programming Spec,37034294,144.88,0.0,0.0,11.47,11.47,156.35,2019
119113,Department of Technology,Cable Splicer,37458809,162674.42,22824.1,16814.92,11541.65,51180.67,213855.09,2019
119134,Department of Technology,IS Engineer-Principal,40156100,145092.5,27024.21,1297.72,11199.25,39521.18,184613.68,2019
119681,Department of Technology,Communications Systems Tech,37485171,142940.02,23712.93,14501.06,10766.25,48980.24,191920.26,2018
119683,Department of Technology,Manager II,37500425,123326.59,23071.93,17155.07,9784.62,50011.62,173338.21,2018
119685,Department of Technology,IS Business Analyst-Senior,38795979,122931.02,23094.28,14433.94,9716.9,47245.12,170176.14,2018
119686,Department of Technology,Media Production Tech,37492575,24955.36,0.0,0.0,1936.94,1936.94,26892.3,2018
119688,Department of Technology,IT Operations Support Admin IV,37505814,110428.94,20705.34,14433.94,8901.11,44040.39,154469.33,2018
119835,Department of Technology,Dep Dir IV,43516149,226478.01,48011.3,20002.37,12306.49,80320.16,306798.17,2020
119852,Department of Technology,IS Engineer-Senior,42438346,167637.77,32981.05,1197.89,11788.67,45967.61,213605.38,2020
119879,Department of Technology,Electrical Line Helper,42428176,101093.12,21736.85,18511.56,7702.56,47950.97,149044.09,2020
119907,Department of Technology,IT Operations Support Admin IV,45336189,129713.79,27171.86,15297.0,10399.62,52868.48,182582.27,2020
119938,Department of Technology,IT Operations Support Admin II,43956199,85923.32,13099.63,15287.8,6923.53,35310.96,121234.28,2020
119939,Department of Technology,Cable Splicer,44606156,108373.8,8300.76,0.0,6134.7,14435.46,122809.26,2020
119991,Department of Technology,IS Business Analyst-Principal,43956174,151834.0,32187.49,15297.0,11537.59,59022.08,210856.08,2020
119999,Department of Technology,Executive Secretary 2,42422890,95254.0,20650.22,15297.0,7242.45,43189.67,138443.67,2020
120012,Department of Technology,IT Operations Support Admin II,42444171,98464.58,19902.2,15297.0,7970.16,43169.36,141633.94,2020
120013,Department of Technology,IS Engineer-Journey,44966176,140373.02,29757.81,15297.0,10720.97,55775.78,196148.8,2020
120014,Department of Technology,Media Programming Spec,42446658,89692.4,19403.22,16616.3,7284.89,43304.41,132996.81,2020
120015,Department of Technology,Electrical Line Worker,42437549,146962.58,26064.55,18511.56,11325.66,55901.77,202864.35,2020
121043,Department of Technology,Media Programming Spec,46696609,83102.87,18498.77,16838.46,6665.1,42002.33,125105.2,2021
121044,Department of Technology,Media Programming Spec,46396969,3651.44,0.0,0.0,283.41,283.41,3934.85,2021
121070,Department of Technology,Cable Splicer,46576522,126600.86,27957.85,18971.61,9748.36,56677.82,183278.68,2021
121081,Department of Technology,Telecommunications Tech Supv,46966505,134349.09,28208.49,18971.61,10642.92,57823.02,192172.11,2021
121082,Department of Technology,IS Engineer-Senior,46366468,162373.09,33899.07,15603.29,12081.13,61583.49,223956.58,2021
121112,Department of Technology,IS Engineer-Principal,45733830,169415.03,37316.26,15603.29,12143.71,65063.26,234478.29,2021
